MeasureItem,Month,Year,Category,Country,MeasureItemID,CreationDate,Representativity,ProvidedValue,ProvidedValueCode
Monthly Domestic Values,6,2024,Fossil Brown coal/Lignite,SK,B02,09/09/2024 16:26,100,0,
Monthly Domestic Values,1,2024,Fossil Hard coal,CZ,B05,09/09/2024 16:26,100,76.30648,
Monthly Domestic Values,4,2024,Hydro Water Reservoir,RO,B12,09/09/2024 16:26,100,523.3265,
Monthly Domestic Values,4,2024,Hydro Run-of-river and poundage,NO,B11,09/09/2024 16:26,100,2497.1926,
Monthly Domestic Values,1,2024,Biomass,HR,B01,09/09/2024 16:26,100,57.0912,
Monthly Domestic Values,4,2024,Waste,ES,B17,09/09/2024 16:26,100,111.171,
Monthly Domestic Values,6,2024,Waste,SI,B17,09/09/2024 16:26,100,6.11265,
Monthly Domestic Values,4,2024,Other renewable,AT,B15,09/09/2024 16:26,100,0,
Monthly Domestic Values,4,2024,Wind Onshore,DK,B19,09/09/2024 16:26,100,904.23861,
Monthly Domestic Values,6,2024,Wind Onshore,RO,B19,09/09/2024 16:26,100,346.63675,
Monthly Domestic Values,6,2024,Biomass,DK,B01,09/09/2024 16:26,100,103.50409,
Monthly Domestic Values,5,2024,Wind Onshore,NO,B19,09/09/2024 16:26,100,746.12876,
